CONCEPTICON_ID	CONCEPTICON_GLOSS
667	ROAD
2457	PATH OR ROAD
3696	THROW AWAY
2108	RAINING OR RAIN
1821	BRUSH
281	POST
1690	FENCE
480	PLATE
1844	BOAT
1845	BALL
2272	HOT OR WARM
2110	WARM (OF WEATHER)
1955	GRIEVE
1459	TURN
25	DIRT
1720	SIGN
723	PLACE (POSITION)
2118	MOUNTAIN OR HILL
2531	BROAD
2652	BROAD OR WIDE
2259	FLESH
2615	FLESH OR MEAT
3347	HIGH OR UP
363	DWELL (LIVE, RESIDE)
2295	SUNSET
2296	SUNRISE
2106	MALE PERSON
1326	DOWN
2911	BACKWARD
904	BERRY
57	ATOP
2142	RUN AWAY
2493	BOIL
3701	HOLLOW
411	GOURD
225	PESTLE
1350	MONKEY
3780	PET
282	POLE
1295	STICK
3883	NOISY
1786	DRY UP
2015	MAKE DRY
2012	COLLAR
1840	BUILD
860	CAUSE
1575	COCKROACH
1040	HAIR
3294	BRAID (VERB) OR WEAVE (BASKET)
3320	SNARE (TRAP)
2102	BURN
976	WEAR
1383	GRANDFATHER
1496	GRANDMOTHER
1063	NEPHEW
1327	UNCLE
1753	TOP
2614	SKIN (ANIMAL)
870	BREATH
